,c1,c2,c3,c4,c5,c6,c7,c8,c9,m,p,b
0,0,0,0,0,0,0,0,0,0,0,X,---------
1,0,0,0,0,0,0,0,-1,1,2,X,-------OX
2,0,0,0,0,0,0,0,1,-1,0,X,-------XO
3,0,0,0,0,0,0,-1,0,1,0,X,------O-X
4,0,0,0,0,0,0,-1,1,0,0,X,------OX-
5,0,0,0,0,0,0,1,0,-1,0,X,------X-O
6,0,0,0,0,0,0,1,-1,0,0,X,------XO-
7,0,0,0,0,0,-1,0,0,1,4,X,-----O--X
8,0,0,0,0,0,-1,0,1,0,4,X,-----O-X-
9,0,0,0,0,0,-1,1,0,0,0,X,-----OX--
10,0,0,0,0,0,1,0,0,-1,0,X,-----X--O
11,0,0,0,0,0,1,0,-1,0,4,X,-----X-O-
12,0,0,0,0,0,1,-1,0,0,8,X,-----XO--
13,0,0,0,0,-1,0,0,0,1,0,X,----O---X
14,0,0,0,0,-1,0,0,1,0,0,X,----O--X-
15,0,0,0,0,-1,0,1,0,0,0,X,----O-X--
16,0,0,0,0,-1,1,0,0,0,0,X,----OX---
17,0,0,0,0,1,0,0,0,-1,0,X,----X---O
18,0,0,0,0,1,0,0,-1,0,0,X,----X--O-
19,0,0,0,0,1,0,-1,0,0,0,X,----X-O--
20,0,0,0,0,1,-1,0,0,0,0,X,----XO---
21,0,0,0,-1,0,0,0,0,1,2,X,---O----X
22,0,0,0,-1,0,0,0,1,0,4,X,---O---X-
23,0,0,0,-1,0,0,1,0,0,4,X,---O--X--
24,0,0,0,-1,0,1,0,0,0,0,X,---O-X---
25,0,0,0,-1,1,0,0,0,0,0,X,---OX----
26,0,0,0,1,0,0,0,0,-1,6,X,---X----O
27,0,0,0,1,0,0,0,-1,0,4,X,---X---O-
28,0,0,0,1,0,0,-1,0,0,2,X,---X--O--
29,0,0,0,1,0,-1,0,0,0,0,X,---X-O---
30,0,0,0,1,-1,0,0,0,0,0,X,---XO----
31,0,0,-1,0,0,0,0,0,1,0,X,--O-----X
32,0,0,-1,0,1,0,0,0,0,0,X,--O-X----
33,0,0,1,0,0,0,0,0,-1,0,X,--X-----O
34,0,0,1,0,-1,0,0,0,0,0,X,--X-O----
35,0,-1,0,0,0,0,0,0,1,2,X,-O------X
36,0,-1,0,0,0,0,0,1,0,0,X,-O-----X-
37,0,-1,0,0,0,0,1,0,0,0,X,-O----X--
38,0,-1,0,0,0,1,0,0,0,2,X,-O---X---
39,0,-1,0,0,1,0,0,0,0,0,X,-O--X----
40,0,-1,0,1,0,0,0,0,0,0,X,-O-X-----
41,0,1,0,0,0,0,0,0,-1,2,X,-X------O
42,0,1,0,0,0,0,0,-1,0,0,X,-X-----O-
43,0,1,0,0,0,0,-1,0,0,0,X,-X----O--
44,0,1,0,0,0,-1,0,0,0,2,X,-X---O---
45,0,1,0,0,-1,0,0,0,0,0,X,-X--O----
46,0,1,0,-1,0,0,0,0,0,0,X,-X-O-----
47,-1,0,0,0,0,0,0,0,1,2,X,O-------X
48,-1,0,0,0,0,0,0,1,0,6,X,O------X-
49,-1,0,0,0,0,0,1,0,0,2,X,O-----X--
50,-1,0,0,0,0,1,0,0,0,2,X,O----X---
51,-1,0,0,0,1,0,0,0,0,1,X,O---X----
52,-1,0,0,1,0,0,0,0,0,1,X,O--X-----
53,-1,0,1,0,0,0,0,0,0,5,X,O-X------
54,-1,1,0,0,0,0,0,0,0,3,X,OX-------
55,1,0,0,0,0,0,0,0,-1,2,X,X-------O
56,1,0,0,0,0,0,0,-1,0,2,X,X------O-
57,1,0,0,0,0,0,-1,0,0,1,X,X-----O--
58,1,0,0,0,0,-1,0,0,0,2,X,X----O---
59,1,0,0,0,-1,0,0,0,0,1,X,X---O----
60,1,0,0,-1,0,0,0,0,0,1,X,X--O-----
61,1,0,-1,0,0,0,0,0,0,3,X,X-O------
62,1,-1,0,0,0,0,0,0,0,3,X,XO-------
63,0,0,0,0,0,-1,-1,1,1,4,X,-----OOXX
64,0,0,0,0,0,-1,1,-1,1,0,X,-----OXOX
65,0,0,0,0,0,-1,1,1,-1,2,X,-----OXXO
66,0,0,0,0,0,1,-1,-1,1,2,X,-----XOOX
67,0,0,0,0,0,1,-1,1,-1,4,X,-----XOXO
68,0,0,0,0,0,1,1,-1,-1,3,X,-----XXOO
69,0,0,0,0,-1,0,-1,1,1,2,X,----O-OXX
70,0,0,0,0,-1,0,1,-1,1,1,X,----O-XOX
71,0,0,0,0,-1,0,1,1,-1,0,X,----O-XXO
72,0,0,0,0,-1,-1,0,1,1,6,X,----OO-XX
73,0,0,0,0,-1,-1,1,0,1,7,X,----OOX-X
74,0,0,0,0,-1,-1,1,1,0,8,X,----OOXX-
75,0,0,0,0,-1,1,0,-1,1,2,X,----OX-OX
76,0,0,0,0,-1,1,0,1,-1,0,X,----OX-XO
77,0,0,0,0,-1,1,-1,0,1,2,X,----OXO-X
78,0,0,0,0,-1,1,-1,1,0,2,X,----OXOX-
79,0,0,0,0,-1,1,1,0,-1,0,X,----OXX-O
80,0,0,0,0,-1,1,1,-1,0,1,X,----OXXO-
81,0,0,0,0,1,0,-1,-1,1,0,X,----X-OOX
82,0,0,0,0,1,0,-1,1,-1,1,X,----X-OXO
83,0,0,0,0,1,0,1,-1,-1,2,X,----X-XOO
84,0,0,0,0,1,-1,0,-1,1,0,X,----XO-OX
85,0,0,0,0,1,-1,0,1,-1,1,X,----XO-XO
86,0,0,0,0,1,-1,-1,0,1,0,X,----XOO-X
87,0,0,0,0,1,-1,-1,1,0,1,X,----XOOX-
88,0,0,0,0,1,-1,1,0,-1,2,X,----XOX-O
89,0,0,0,0,1,-1,1,-1,0,2,X,----XOXO-
90,0,0,0,0,1,1,0,-1,-1,3,X,----XX-OO
91,0,0,0,0,1,1,-1,0,-1,3,X,----XXO-O
92,0,0,0,0,1,1,-1,-1,0,3,X,----XXOO-
93,0,0,0,-1,0,0,-1,1,1,0,X,---O--OXX
94,0,0,0,-1,0,0,1,-1,1,2,X,---O--XOX
95,0,0,0,-1,0,0,1,1,-1,4,X,---O--XXO
96,0,0,0,-1,0,-1,0,1,1,6,X,---O-O-XX
97,0,0,0,-1,0,-1,1,0,1,7,X,---O-OX-X
98,0,0,0,-1,0,-1,1,1,0,8,X,---O-OXX-
99,0,0,0,-1,0,1,0,-1,1,2,X,---O-X-OX
100,0,0,0,-1,0,1,0,1,-1,0,X,---O-X-XO
101,0,0,0,-1,0,1,-1,0,1,2,X,---O-XO-X
102,0,0,0,-1,0,1,-1,1,0,0,X,---O-XOX-
103,0,0,0,-1,0,1,1,0,-1,0,X,---O-XX-O
104,0,0,0,-1,0,1,1,-1,0,2,X,---O-XXO-
105,0,0,0,-1,-1,0,0,1,1,6,X,---OO--XX
